ID,f1,f2,f3,f4,f5,f6,f7,f8,f9,target
2016_1112_1455,6,11,-5,0.76,17.44,4.13,0.74,20.96,7.13,0
2016_1114_1235,12,4,8,0.87,12.33,6.25,0.66,13.38,5.55,0
2016_1114_1345,12,5,7,0.87,12.33,6.25,0.76,19.62,7.88,1
2016_1122_1242,16,1,15,0.48,7.94,12.06,0.88,16.14,12.25,0
2016_1124_1463,5,12,-7,0.66,16.10,11.27,0.78,18.05,13.83,0
2016_1138_1274,14,3,11,0.58,11.16,13.57,0.78,14.52,11.57,0
2016_1139_1403,9,8,1,0.68,18.67,10.00,0.61,10.68,10.33,1
2016_1139_1438,9,1,8,0.68,18.67,10.00,0.79,14.58,3.71,0
2016_1143_1218,4,13,-9,0.70,14.13,5.80,0.83,14.28,6.60,0
2016_1151_1231,12,5,7,0.84,11.56,13.20,0.78,19.40,8.14,0
2016_1153_1386,9,8,1,0.69,17.32,5.10,0.79,11.89,8.57,0
2016_1160_1163,8,9,-1,0.66,11.95,9.00,0.71,17.58,7.10,0
2016_1163_1242,9,1,8,0.71,17.58,7.10,0.88,16.14,12.25,0
2016_1167_1328,15,2,13,0.72,15.62,10.25,0.78,14.36,5.71,0
2016_1173_1393,7,10,-3,0.78,11.96,9.00,0.59,13.37,8.46,0
2016_1181_1332,4,1,3,0.70,16.30,6.50,0.82,13.19,9.00,0
2016_1181_1423,4,13,-9,0.70,16.30,6.50,0.77,10.43,7.00,1
2016_1181_1463,4,12,-8,0.70,16.30,6.50,0.78,18.05,13.83,1
2016_1192_1195,16,16,0,0.55,7.88,13.29,0.55,11.81,8.46,0
2016_1195_1314,16,1,15,0.55,11.81,8.46,0.82,16.21,3.67,0
2016_1201_1428,14,3,11,0.72,8.61,9.67,0.76,14.56,14.63,0
2016_1211_1371,11,6,5,0.78,17.48,4.14,0.76,11.60,7.13,1
2016_1211_1393,11,10,1,0.78,17.48,4.14,0.59,13.37,8.46,0
2016_1211_1428,11,3,8,0.78,17.48,4.14,0.76,14.56,14.63,1
2016_1214_1438,16,1,15,0.67,10.05,17.40,0.79,14.58,3.71,0
2016_1218_1268,13,5,8,0.83,14.28,6.60,0.75,14.79,7.88,0
2016_1221_1332,16,1,15,0.42,8.14,13.53,0.82,13.19,9.00,0
2016_1221_1380,16,16,0,0.42,8.14,13.53,0.61,10.26,11.42,1
2016_1231_1246,5,4,1,0.78,19.40,8.14,0.76,17.50,8.38,1
2016_1231_1314,5,1,4,0.78,19.40,8.14,0.82,16.21,3.67,0
2016_1233_1235,13,4,9,0.69,13.14,9.90,0.66,13.38,5.55,0
2016_1234_1396,7,10,-3,0.68,16.05,4.60,0.66,8.24,12.18,1
2016_1234_1437,7,2,5,0.68,16.05,4.60,0.85,17.24,9.80,0
2016_1235_1438,4,1,3,0.66,13.38,5.55,0.79,14.58,3.71,0
2016_1242_1268,1,5,-4,0.88,16.14,12.25,0.75,14.79,7.88,1
2016_1242_1437,1,2,-1,0.88,16.14,12.25,0.85,17.24,9.80,0
2016_1246_1392,4,13,-9,0.76,17.50,8.38,0.80,15.83,12.00,1
2016_1268_1355,5,12,-7,0.75,14.79,7.88,0.77,11.46,8.14,1
2016_1274_1437,3,2,1,0.78,14.52,11.57,0.85,17.24,9.80,0
2016_1274_1455,3,11,-8,0.78,14.52,11.57,0.74,20.96,7.13,1
